      0     1     2     3     4     5     6     7     8     9     10    11    12    13    14    15    16    17    18    19
0  0.000 0.001 0.259 0.000 0.000 0.000 0.000 0.001 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.193 0.000 0.546 0.000 0.000
1  0.000 0.000 0.247 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.102 0.000 0.651 0.000 0.000
2  0.000 0.007 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.001 0.084 0.000 0.908 0.000 0.000
3  0.000 0.106 0.160 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.006 0.049 0.000 0.680 0.000 0.000
4  0.000 0.090 0.143 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.001 0.088 0.000 0.678 0.000 0.000
5  0.000 0.294 0.248 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.005 0.059 0.000 0.393 0.000 0.000
6  0.000 0.152 0.170 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.017 0.032 0.000 0.629 0.000 0.000
7  0.000 0.010 0.122 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.432 0.000 0.436 0.000 0.000
8  0.000 0.020 0.289 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.263 0.000 0.428 0.000 0.000
9  0.000 0.093 0.328 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.004 0.053 0.000 0.522 0.000 0.000
10 0.000 0.121 0.462 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.223 0.000 0.194 0.000 0.000
11 0.000 0.036 0.401 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.001 0.089 0.000 0.473 0.000 0.000
12 0.000 0.017 0.216 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.001 0.255 0.000 0.511 0.000 0.000
13 0.000 0.032 0.267 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.002 0.206 0.000 0.492 0.000 0.000
14 0.000 0.052 0.290 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.060 0.000 0.598 0.000 0.000
15 0.000 0.025 0.392 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.009 0.000 0.575 0.000 0.000
16 0.000 0.008 0.322 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.105 0.000 0.564 0.000 0.000
17 0.000 0.188 0.186 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.005 0.618 0.000 0.003 0.000 0.000
18 0.000 0.127 0.149 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.006 0.029 0.000 0.690 0.000 0.000
19 0.000 0.178 0.179 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.017 0.032 0.000 0.595 0.000 0.000
