      0     1     2     3     4     5     6     7     8     9     10    11    12    13    14    15    16    17    18    19
0  0.000 0.958 0.006 0.000 0.000 0.000 0.000 0.006 0.000 0.000 0.000 0.000 0.000 0.000 0.021 0.006 0.000 0.003 0.000 0.000
1  0.000 0.789 0.032 0.000 0.000 0.000 0.000 0.096 0.000 0.000 0.000 0.000 0.000 0.000 0.068 0.009 0.000 0.006 0.000 0.000
2  0.000 0.189 0.122 0.000 0.000 0.000 0.000 0.509 0.000 0.000 0.000 0.000 0.000 0.000 0.138 0.000 0.000 0.041 0.000 0.000
3  0.000 0.423 0.323 0.000 0.000 0.000 0.000 0.066 0.000 0.000 0.000 0.000 0.000 0.000 0.167 0.003 0.000 0.019 0.000 0.000
4  0.000 0.127 0.424 0.000 0.000 0.000 0.000 0.239 0.000 0.000 0.000 0.000 0.000 0.000 0.070 0.003 0.000 0.136 0.000 0.000
5  0.000 0.168 0.162 0.000 0.000 0.000 0.000 0.073 0.000 0.000 0.000 0.000 0.000 0.000 0.578 0.003 0.000 0.017 0.000 0.000
6  0.000 0.096 0.213 0.000 0.000 0.000 0.000 0.040 0.000 0.000 0.000 0.000 0.000 0.000 0.554 0.000 0.000 0.096 0.000 0.000
7  0.000 0.114 0.729 0.000 0.000 0.000 0.000 0.069 0.000 0.000 0.000 0.000 0.000 0.000 0.016 0.007 0.000 0.064 0.000 0.000
8  0.000 0.306 0.081 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.242 0.016 0.000 0.355 0.000 0.000
9  0.000 0.121 0.037 0.000 0.000 0.000 0.000 0.031 0.000 0.000 0.000 0.000 0.000 0.000 0.341 0.000 0.000 0.471 0.000 0.000
10 0.000 0.223 0.059 0.000 0.000 0.000 0.000 0.044 0.000 0.000 0.000 0.000 0.000 0.000 0.212 0.000 0.000 0.463 0.000 0.000
11 0.000 0.045 0.013 0.000 0.000 0.000 0.000 0.013 0.000 0.000 0.000 0.000 0.000 0.000 0.854 0.000 0.000 0.076 0.000 0.000
12 0.000 0.238 0.174 0.000 0.000 0.000 0.000 0.145 0.000 0.000 0.000 0.000 0.000 0.000 0.198 0.006 0.000 0.238 0.000 0.000
13 0.000 0.493 0.069 0.000 0.000 0.000 0.000 0.330 0.000 0.000 0.000 0.000 0.000 0.000 0.035 0.035 0.000 0.037 0.000 0.000
14 0.000 0.025 0.014 0.000 0.000 0.000 0.000 0.004 0.000 0.000 0.000 0.000 0.000 0.000 0.953 0.001 0.000 0.002 0.000 0.000
15 0.000 0.353 0.010 0.000 0.000 0.000 0.000 0.124 0.000 0.000 0.000 0.000 0.000 0.000 0.007 0.494 0.000 0.012 0.000 0.000
16 0.000 0.321 0.045 0.000 0.000 0.000 0.000 0.310 0.000 0.000 0.000 0.000 0.000 0.000 0.152 0.006 0.000 0.167 0.000 0.000
17 0.000 0.015 0.301 0.000 0.000 0.000 0.000 0.011 0.000 0.000 0.000 0.000 0.000 0.000 0.013 0.000 0.000 0.659 0.000 0.000
18 0.000 0.019 0.000 0.000 0.000 0.000 0.000 0.010 0.000 0.000 0.000 0.000 0.000 0.000 0.893 0.000 0.000 0.078 0.000 0.000
19 0.000 0.211 0.039 0.000 0.000 0.000 0.000 0.066 0.000 0.000 0.000 0.000 0.000 0.000 0.487 0.000 0.000 0.197 0.000 0.000
